position,candidate,party,district
SANGGUNIANG PANLALAWIGAN,"CALLANGAN, CLAIRE",NPC,BFT_R2\CAGAYAN\AMULUNG
SANGGUNIANG PANLALAWIGAN,"FAUSTO, ODIBOY",LAKAS,BFT_R2\CAGAYAN\AMULUNG
SANGGUNIANG PANLALAWIGAN,"MABASA, PEARL",NP,BFT_R2\CAGAYAN\AMULUNG
SANGGUNIANG PANLALAWIGAN,"PONCE, AJ",LAKAS,BFT_R2\CAGAYAN\AMULUNG
MAYOR,"ORTIZ, ANGELITA",NP,BFT_R2\CAGAYAN\AMULUNG
MAYOR,"RENDON, ELPIDIO",LAKAS,BFT_R2\CAGAYAN\AMULUNG
VICE-MAYOR,"ANTONIO, EDWARD",NPC,BFT_R2\CAGAYAN\AMULUNG
VICE-MAYOR,"CATOLICO, JORGE",IND,BFT_R2\CAGAYAN\AMULUNG
VICE-MAYOR,"DE LEON, NICANOR",NP,BFT_R2\CAGAYAN\AMULUNG
SANGGUNIANG BAYAN,"ANTONIO, ISARCO",NP,BFT_R2\CAGAYAN\AMULUNG
SANGGUNIANG BAYAN,"DONATO, BIGDADDY",NPC,BFT_R2\CAGAYAN\AMULUNG
SANGGUNIANG BAYAN,"MATOTE, EDCEL",IND,BFT_R2\CAGAYAN\AMULUNG
SANGGUNIANG BAYAN,"RIGOR, BONG",NP,BFT_R2\CAGAYAN\AMULUNG
SANGGUNIANG BAYAN,"BACULI, MARK ANTHONY",LAKAS,BFT_R2\CAGAYAN\AMULUNG
SANGGUNIANG BAYAN,"GOLA, MANNY",NP,BFT_R2\CAGAYAN\AMULUNG
SANGGUNIANG BAYAN,"PANALIGAN, RONNIE",IND,BFT_R2\CAGAYAN\AMULUNG
SANGGUNIANG BAYAN,"SAQUING, CIANO",NP,BFT_R2\CAGAYAN\AMULUNG
SANGGUNIANG BAYAN,"BARCELLANO, CLARORECTO",NP,BFT_R2\CAGAYAN\AMULUNG
SANGGUNIANG BAYAN,"MALAMUG, JONG",LAKAS,BFT_R2\CAGAYAN\AMULUNG
SANGGUNIANG BAYAN,"PASCUAL, ALJOHN",LAKAS,BFT_R2\CAGAYAN\AMULUNG
SANGGUNIANG BAYAN,"TABAOG, CARTE",IND,BFT_R2\CAGAYAN\AMULUNG
SANGGUNIANG BAYAN,"CUMLAT, EMERSON",NP,BFT_R2\CAGAYAN\AMULUNG
SANGGUNIANG BAYAN,"MALAMUG, PICHOY",NP,BFT_R2\CAGAYAN\AMULUNG
SANGGUNIANG BAYAN,"PASIMIO, AMOR EMMANUEL",NPC,BFT_R2\CAGAYAN\AMULUNG
SANGGUNIANG BAYAN,"ZALUN, ISMAEL",NPC,BFT_R2\CAGAYAN\AMULUNG
SANGGUNIANG BAYAN,"DE LEON, NICO",NP,BFT_R2\CAGAYAN\AMULUNG
SANGGUNIANG BAYAN,"MARCOS, BOYET",LAKAS,BFT_R2\CAGAYAN\AMULUNG
SANGGUNIANG BAYAN,"RENDON, ABBU",NPC,BFT_R2\CAGAYAN\AMULUNG
MAYOR,"CHAN, RICHELLE",IND,BFT_R2\CAGAYAN\APARRI
MAYOR,"DAYAG, DOMINADOR",NP,BFT_R2\CAGAYAN\APARRI
MAYOR,"TADILI, ATTY. JING",IND,BFT_R2\CAGAYAN\APARRI
VICE-MAYOR,"ALAMEDA, ELIZABETH",NP,BFT_R2\CAGAYAN\APARRI
VICE-MAYOR,"CHAN, BRYAN",IND,BFT_R2\CAGAYAN\APARRI
VICE-MAYOR,"MABBAGU, PONG",NPC,BFT_R2\CAGAYAN\APARRI
SANGGUNIANG BAYAN,"ABLOG, RONALD",IND,BFT_R2\CAGAYAN\APARRI
SANGGUNIANG BAYAN,"CAPIÑA, JANE",LAKAS,BFT_R2\CAGAYAN\APARRI
SANGGUNIANG BAYAN,"ESLABON, JOYLYN",NPC,BFT_R2\CAGAYAN\APARRI
SANGGUNIANG BAYAN,"ROSALES, EFFIE ELISA",LAKAS,BFT_R2\CAGAYAN\APARRI
SANGGUNIANG BAYAN,"ADAP, ROBERT",NPC,BFT_R2\CAGAYAN\APARRI
SANGGUNIANG BAYAN,"CASTILLO, CHARLES",NPC,BFT_R2\CAGAYAN\APARRI
SANGGUNIANG BAYAN,"LABBAO, RONALD",IND,BFT_R2\CAGAYAN\APARRI
SANGGUNIANG BAYAN,"SIRIBAN, LEO",IND,BFT_R2\CAGAYAN\APARRI
SANGGUNIANG BAYAN,"AGBANGLO, ALEX",LAKAS,BFT_R2\CAGAYAN\APARRI
SANGGUNIANG BAYAN,"CHAN, LARRY",LAKAS,BFT_R2\CAGAYAN\APARRI
SANGGUNIANG BAYAN,"LOBAS, WIN",NP,BFT_R2\CAGAYAN\APARRI
SANGGUNIANG BAYAN,"TUMARU, KING",NP,BFT_R2\CAGAYAN\APARRI
SANGGUNIANG BAYAN,"ALAMEDA, JULIE ANN",NP,BFT_R2\CAGAYAN\APARRI
SANGGUNIANG BAYAN,"CHAN, RENE",IND,BFT_R2\CAGAYAN\APARRI
SANGGUNIANG BAYAN,"MAGAMPON, EDUWOW",LAKAS,BFT_R2\CAGAYAN\APARRI
SANGGUNIANG BAYAN,"URDAS, WINDELL",IND,BFT_R2\CAGAYAN\APARRI
SANGGUNIANG BAYAN,"ALBANIO, JOCELMONAY",NPC,BFT_R2\CAGAYAN\APARRI
SANGGUNIANG BAYAN,"DAYAG, DIAN JAYCERETT",NP,BFT_R2\CAGAYAN\APARRI
SANGGUNIANG BAYAN,"MAPE, LITO",NPC,BFT_R2\CAGAYAN\APARRI
SANGGUNIANG BAYAN,"CALLANGAN, JONAS",NP,BFT_R2\CAGAYAN\APARRI
SANGGUNIANG BAYAN,"DE LA PEÑA, ROBERT",IND,BFT_R2\CAGAYAN\APARRI
SANGGUNIANG BAYAN,"REYNON, ARNEL",NP,BFT_R2\CAGAYAN\APARRI
MAYOR,"BARCENA, CRIS",NP,BFT_R2\CAGAYAN\BAGGAO
